Region States,30-09-2019,01-10-2019,02-10-2019,03-10-2019,04-10-2019,05-10-2019,06-10-2019
Punjab,132.5,131.5,130.3,137.9,135.8,139.3,141.1
Haryana,148.2,157.0,145.3,151.9,141.4,143.8,142.9
Rajasthan,197.0,199.9,187.7,189.9,186.9,195.2,185.4
Delhi,89.2,92.8,79.5,92.6,89.4,82.2,77.8
NR UP,258.6,284.2,281.4,298.6,310.0,319.5,326.7
Uttarakhand,35.9,35.3,30.1,34.7,36.7,35.5,34.3
HP,25.3,26.5,23.9,26.4,26.4,26.9,25.6
J&K,37.9,31.7,37.3,34.6,32.7,37.6,39.5
Chandigarh,3.9,3.9,3.4,4.0,3.8,3.5,3.2
Chhattisgarh,77.2,79.0,80.7,85.2,87.6,89.6,88.0
Gujarat,260.0,268.3,275.0,294.1,301.2,305.6,290.5
MP,162.5,159.6,154.3,161.1,168.6,170.7,170.2
Maharashtra,400.9,409.7,405.2,421.8,408.3,406.3,392.1
WR,,,,,,,
Goa,12.1,12.1,12.1,12.2,12.4,12.4,12.4
DD,7.0,7.0,6.3,6.2,7.6,7.5,7.3
DNH,18.0,17.8,16.9,17.6,17.6,18.5,17.3
Essar steel,5.8,6.5,5.8,5.6,5.5,6.1,6.4
Andhra Pradesh,163.0,168.8,167.7,168.1,164.9,163.3,160.7
Telangana,167.5,173.4,166.7,173.2,176.9,177.0,174.3
Karnataka,173.6,176.0,157.0,163.5,162.4,156.7,138.7
SR,,,,,,,
Kerala,67.9,68.9,67.4,69.9,72.4,69.6,64.2
Tamil Nadu,280.4,290.8,270.5,298.4,314.1,305.9,288.7
Pondy,7.6,7.9,7.1,8.0,8.4,8.3,7.4
Bihar,56.4,69.9,76.2,82.3,87.7,88.2,93.7
DVC,59.4,58.6,60.2,60.7,63.5,62.4,59.7
Jharkhand,19.2,21.8,23.3,24.3,24.8,24.8,24.8
ER,,,,,,,
Odisha,86.6,78.8,78.4,82.4,84.3,85.7,82.1
West Bengal,131.7,140.1,149.8,154.7,155.3,143.9,143.4
Sikkim,1.1,1.1,0.8,1.0,1.0,0.9,0.7
Arunachal Pradesh,2.1,2.1,2.1,2.1,2.1,2.1,2.2
Assam,25.8,25.8,27.9,30.1,30.1,31.7,29.2
Manipur,2.3,2.4,2.4,2.5,2.5,2.5,2.5
NER Meghalaya,6.0,6.2,6.2,6.0,5.9,5.4,5.2
Mizoram,1.7,1.7,1.8,1.8,1.8,1.8,1.7
Nagaland,2.4,2.1,2.1,2.0,2.2,2.1,2.2
Tripura,4.2,4.3,4.3,4.6,4.8,5.0,4.8
