Region States,Unnamed: 0,19-10-2020,20-10-2020,21-10-2020,22-10-2020,23-10-2020,24-10-2020,25-10-2020
Punjab,,144.7,142.8,137.6,131.6,131.8,120.5,112.1
Haryana,,154.0,152.5,150.4,148.5,146.2,143.1,126.0
Rajasthan,,244.1,242.3,240.6,242.2,241.3,239.5,233.1
Delhi,,75.8,74.6,76.0,75.9,74.4,70.8,62.6
NR UP,,335.0,328.0,322.6,324.9,321.2,308.3,292.1
Uttarakhand,,36.4,36.2,36.8,37.0,36.3,35.6,31.6
HP,,28.6,28.9,29.3,29.5,29.7,29.5,25.2
J&K,,39.9,46.6,44.8,47.4,45.4,46.9,45.0
Chandigarh,,3.5,3.5,3.4,3.4,3.3,3.2,2.9
Chhattisgarh,,86.1,85.9,84.6,84.1,83.1,80.5,78.9
Gujarat,,354.9,358.7,357.1,359.7,354.2,344.3,324.4
MP,,243.8,246.4,245.6,245.7,249.9,252.2,247.7
Maharashtra,,410.3,419.9,424.7,419.3,414.8,415.6,376.1
WR,,,,,,,,
Goa,,9.5,11.3,11.3,10.6,9.6,9.6,8.4
DD,,7.5,7.8,7.8,7.8,7.9,7.4,4.1
DNH,,18.4,18.6,16.5,16.7,18.3,17.3,16.0
Essar steel,,17.6,17.6,17.6,17.7,18.0,19.3,18.9
Andhra Pradesh,,159.7,155.0,151.7,154.0,155.2,162.2,158.4
Telangana,,139.4,134.4,134.3,139.4,143.8,144.9,137.0
Karnataka,,156.9,147.7,142.0,146.2,146.6,143.3,135.1
SR,,,,,,,,
Kerala,,69.6,69.3,69.8,67.6,67.5,65.8,62.0
Tamil Nadu,,281.2,288.6,286.4,287.4,293.7,287.3,263.4
Pondy,,7.1,7.5,7.6,7.6,7.7,7.4,6.2
Bihar,,110.1,109.1,110.8,109.7,108.0,102.9,91.5
DVC,,65.4,68.3,65.8,65.6,65.3,65.9,60.3
Jharkhand,,29.7,28.6,29.3,29.4,29.9,28.4,27.1
ER,,,,,,,,
Odisha,,103.6,104.6,95.1,95.0,92.4,93.5,89.1
West Bengal,,172.7,173.4,170.3,155.0,124.4,121.1,118.4
Sikkim,,1.3,1.2,1.3,1.3,1.4,1.2,1.0
Arunachal Pradesh,,2.1,2.2,2.2,2.1,2.2,1.9,1.9
Assam,,32.8,34.3,33.9,30.3,23.7,20.2,21.8
Manipur,,2.5,2.5,2.5,2.6,2.8,2.4,2.5
NER Meghalaya,,5.7,5.8,5.8,5.8,5.9,5.7,5.5
Mizoram,,1.6,1.6,1.7,1.6,1.6,1.3,1.4
Nagaland,,2.3,2.2,2.4,2.4,2.5,2.4,2.2
Tripura,,6.7,5.5,4.9,4.3,3.9,3.9,4.4
