Region,States,03-07-2023,04-07-2023,05-07-2023,06-07-2023,07-07-2023,08-07-2023,09-07-2023
NR,Punjab,300.4,309.9,230.4,213.1,239.1,190.0,150.4
,Haryana,249.2,250.5,240.2,224.7,233.4,196.1,148.6
,Rajasthan,276.8,296.6,301.4,274.8,260.1,240.5,234.5
,Delhi,136.9,139.5,134.4,123.5,125.0,111.3,101.4
,UP,485.4,493.3,490.9,458.0,464.3,433.6,422.0
,Uttarakhand,46.7,47.4,48.3,42.4,43.9,42.8,36.1
,HP,35.7,34.1,33.8,33.1,35.0,33.5,30.3
,J&K,52.5,49.7,48.7,49.6,50.3,48.1,43.9
,Chandigarh,7.3,6.8,6.1,6.2,6.4,5.2,3.9
,Railways_NR ISTS,3.4,3.4,3.8,3.5,3.5,3.1,2.9
WR,Chhattisgarh,113.8,116.8,115.2,106.4,100.0,99.9,102.4
,Gujarat,355.6,378.6,384.0,367.8,363.3,350.5,321.0
,MP,225.5,234.0,232.8,229.4,219.1,224.6,217.9
,Maharashtra,524.5,535.6,520.3,508.2,503.9,495.1,485.7
,Goa,12.3,12.8,12.1,12.1,12.2,12.3,11.6
,DNHDDPDCL,28.7,29.7,29.7,30.2,30.0,30.2,28.7
,AMNSIL,17.8,17.9,17.7,17.3,16.4,17.8,17.4
,BALCO,12.3,12.4,12.4,12.4,12.4,12.4,12.4
SR,Andhra Pradesh,226.7,213.7,207.7,201.3,207.7,209.4,217.1
,Telangana,221.4,230.0,212.3,217.4,218.0,216.9,215.9
,Karnataka,222.6,219.1,212.0,203.1,203.7,203.1,188.3
,Kerala,72.0,68.8,66.2,68.8,71.3,70.8,67.3
,Tamil Nadu,346.2,339.1,342.8,345.1,358.4,360.6,331.6
,Pondy,9.3,8.1,9.2,9.5,10.1,10.2,9.6
ER,Bihar,116.3,119.7,118.0,132.1,128.5,133.6,139.6
,DVC,74.5,76.1,74.9,73.5,73.3,73.7,71.1
,Jharkhand,34.2,35.5,36.7,36.0,35.3,35.9,36.5
,Odisha,128.9,125.0,117.9,117.2,120.2,119.2,122.8
,West Bengal,202.0,218.1,220.1,207.3,194.3,189.8,199.5
,Sikkim,1.4,1.3,1.5,1.4,1.3,1.2,1.0
,Railways_ER ISTS*,0.1,0.2,0.0,0.2,0.3,0.3,0.2
NER,Arunachal Pradesh,2.7,2.6,2.8,2.6,2.6,2.4,2.5
Assam,38.4,41.5,44.6,41.8,42.8,43.7,42.6,
Manipur,2.6,2.7,2.7,2.4,2.6,2.5,2.3,
Meghalaya,4.7,5.4,5.3,5.0,5.2,5.2,5.0,
Mizoram,1.9,1.9,1.8,1.5,1.6,1.8,1.8,
Nagaland,2.8,2.7,2.8,2.6,2.8,2.9,2.9,
Tripura,5.8,6.0,5.1,5.7,5.5,5.5,5.4,
ALL INDIA TOTAL,4599.4,4686.2,4546.4,4387.2,4403.5,4235.6,4033.8,
*Railways_ER ISTS added as an entity w.e.f 30.04.2023,,,,,,,,
