,Dates,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,DD,DNH,DVC,Delhi,Essar steel,Goa,Gujarat,HP,Haryana,J&K,Jharkhand,Karnataka,Kerala,MP,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,UP,Uttarakhand,West Bengal,Total Consumption
0,2022-04-04,220.8,2.2,23.8,114.4,4.5,123.3,7.5,18.4,77.4,94.5,17.1,14.6,424.5,31.7,139.2,46.5,33.9,271.5,85.0,257.8,611.1,2.6,5.1,1.7,2.2,108.5,149.5,249.4,1.7,363.1,265.7,,397.5,39.8,178.1,4393.700000000001
1,2022-04-05,218.7,2.3,26.3,110.1,4.6,125.8,7.9,19.6,79.5,95.7,15.5,14.4,430.6,31.2,141.7,46.8,34.7,270.9,86.0,262.7,623.3,2.7,5.8,1.7,2.4,109.3,142.2,253.7,1.8,367.1,266.0,,395.7,40.6,185.0,4431.5
2,2022-04-06,205.9,2.4,26.8,112.7,4.6,123.4,8.0,20.2,80.3,97.9,16.2,14.1,428.3,32.0,138.7,46.8,34.1,271.3,80.4,263.8,615.4,2.6,6.2,1.8,2.2,113.5,147.1,254.3,1.8,367.6,265.7,,405.1,37.5,185.3,4423.3
3,2022-04-07,213.1,2.4,27.8,119.2,4.6,122.7,8.0,19.2,76.7,99.4,15.6,14.5,436.2,32.7,145.0,46.3,33.2,277.4,81.2,257.9,611.3,2.6,6.5,1.7,2.2,112.7,161.3,249.6,1.6,372.7,267.1,,407.8,38.8,188.2,4466.5
4,2022-04-08,217.1,2.4,27.9,118.9,4.7,124.8,8.2,20.3,80.3,101.9,15.4,14.4,445.0,32.7,149.0,50.9,34.0,282.9,79.0,256.9,612.0,2.5,6.4,1.8,2.2,115.0,160.0,260.1,1.3,372.7,265.0,,412.5,40.9,186.6,4515.1
5,2022-04-09,211.8,2.3,26.1,116.7,4.6,122.2,8.2,20.5,76.8,100.7,16.8,14.9,443.3,32.8,146.6,48.6,33.8,271.5,73.5,263.7,611.9,2.8,6.3,1.8,2.2,120.3,158.9,262.9,1.0,360.1,253.0,,416.9,41.6,186.9,4471.3
6,2022-04-10,207.4,2.3,22.9,110.0,4.3,120.2,7.4,20.1,75.4,98.5,17.1,13.2,419.0,29.4,138.2,51.8,29.8,250.1,69.8,269.9,590.0,2.5,5.5,1.8,2.3,125.5,147.2,256.4,1.0,320.3,254.4,,407.2,39.0,178.2,4296.2
7,2018-01-08,162.2,2.3,22.8,71.5,3.7,73.3,7.0,17.3,69.2,68.6,8.7,9.2,296.2,26.6,123.3,46.7,24.8,202.6,64.2,225.2,405.2,2.8,6.7,1.8,2.0,68.5,105.4,209.3,1.6,288.9,177.8,,305.3,38.3,103.3,3248.3
8,2018-01-09,165.2,2.2,23.6,73.9,3.8,73.4,7.2,17.6,70.8,68.9,9.9,9.2,299.4,27.6,128.5,47.1,24.5,204.7,64.7,227.1,409.3,2.7,6.4,1.8,2.1,67.7,108.2,211.5,1.6,292.5,179.7,,310.5,39.2,111.5,3300.2999999999997
9,2018-01-10,165.6,2.2,23.8,74.7,3.8,73.6,7.3,17.4,69.0,69.3,8.8,9.2,302.2,27.9,129.9,45.5,24.6,206.6,66.2,227.0,413.4,2.7,6.5,1.9,2.0,70.2,108.7,216.9,1.8,279.8,180.7,,309.9,39.9,113.2,3308.7
10,2018-01-11,167.3,2.3,22.7,74.6,3.8,73.0,7.3,17.8,69.7,68.5,9.4,8.4,303.6,28.1,127.1,46.7,22.8,211.5,68.0,225.4,416.0,2.8,6.0,1.8,2.2,77.6,105.6,217.5,1.7,277.7,180.1,,307.9,39.8,112.5,3313.9
11,2018-01-12,172.6,2.3,24.0,73.4,3.7,74.4,7.4,17.7,70.7,69.3,10.8,8.4,307.9,28.3,125.3,46.4,22.8,213.5,68.9,227.7,415.7,2.7,6.4,1.8,2.2,77.8,105.9,219.7,1.8,292.4,180.6,,309.2,39.8,113.9,3351.8999999999996
12,2018-01-13,170.0,2.3,23.9,74.0,3.5,78.1,7.5,17.2,70.5,63.5,9.7,10.1,303.8,27.8,126.4,47.4,22.8,210.0,68.8,225.7,420.8,2.6,6.4,1.8,2.2,79.8,102.5,213.0,1.6,284.2,183.6,,310.6,38.9,112.7,3330.3999999999996
13,2018-01-14,166.9,2.3,22.2,80.9,3.2,72.2,6.3,16.7,69.7,61.7,10.1,8.3,244.4,25.5,116.2,45.2,24.3,196.9,61.8,220.5,410.9,2.6,6.4,1.8,2.1,77.3,94.0,206.2,1.0,239.9,171.7,,301.5,36.9,104.5,3117.8
14,2020-02-10,180.7,2.2,22.1,77.5,3.9,73.7,7.0,17.1,65.9,68.5,5.5,9.5,329.0,28.0,131.9,50.4,25.9,231.5,73.8,267.4,457.1,2.5,6.6,1.6,2.3,80.6,130.1,243.3,1.9,304.3,192.4,,290.4,37.5,119.7,3549.2999999999997
15,2020-02-11,184.5,2.2,22.6,77.6,4.0,73.7,7.4,18.5,66.5,69.5,10.6,11.2,343.5,29.2,136.6,53.0,25.2,233.9,75.1,269.9,471.1,2.7,6.7,1.6,2.3,80.0,129.2,248.1,1.9,310.0,210.8,,295.5,38.7,120.9,3641.6
